ID,Name,Salary,Department
1,Employee_1,76432,HR
2,Employee_2,50321,IT
3,Employee_3,68210,Finance
4,Employee_4,47890,Marketing
5,Employee_5,59012,Sales
6,Employee_6,61123,Support
7,Employee_7,72034,HR
8,Employee_8,53456,IT
9,Employee_9,65890,Finance
10,Employee_10,49012,Marketing
11,Employee_11,57345,Sales
12,Employee_12,60567,Support
13,Employee_13,73210,HR
14,Employee_14,51234,IT
15,Employee_15,67456,Finance
16,Employee_16,48210,Marketing
17,Employee_17,59876,Sales
18,Employee_18,62012,Support
19,Employee_19,74567,HR
20,Employee_20,52345,IT
21,Employee_21,68901,Finance
22,Employee_22,48765,Marketing
23,Employee_23,60543,Sales
24,Employee_24,63210,Support
25,Employee_25,75123,HR
26,Employee_26,53456,IT
27,Employee_27,69876,Finance
28,Employee_28,49567,Marketing
29,Employee_29,61012,Sales
30,Employee_30,64001,Support
31,Employee_31,76234,HR
32,Employee_32,54567,IT
33,Employee_33,70123,Finance
34,Employee_34,50234,Marketing
35,Employee_35,61890,Sales
36,Employee_36,65123,Support
37,Employee_37,77345,HR
38,Employee_38,55678,IT
39,Employee_39,71234,Finance
40,Employee_40,51012,Marketing
41,Employee_41,62345,Sales
42,Employee_42,66234,Support
43,Employee_43,78456,HR
44,Employee_44,56789,IT
45,Employee_45,72345,Finance
46,Employee_46,51890,Marketing
47,Employee_47,63456,Sales
48,Employee_48,67234,Support
49,Employee_49,79567,HR
50,Employee_50,57890,IT
